validation,model,mean_AUC,sd_AUC,mean_TSS,sd_TSS,mean_Boyce,sd_Boyce
random,GLM,0.9468965754872531,0.00601269478439203,0.8070083414366043,0.01032968323808349,0.9511850346417644,0.02396836307763012
random,MaxEnt,0.9640324102650828,0.00469090446863012,0.8263211093730182,0.01425623802990251,0.9841945764119776,0.01375113482562694
spatial,GLM,0.7980313755573945,0.1669248509316294,0.5069354489769863,0.3713886032987299,0.6365651068361847,0.4143393711625441
spatial,MaxEnt,0.790063983727701,0.17885252678467514,0.4654277345520065,0.3063683248737391,0.6927698074640705,0.4372922347668307
