validation,model,mean_AUC,sd_AUC,mean_TSS,sd_TSS,mean_Boyce,sd_Boyce
random,GLM,0.9468965754872533,0.006012694784392031,0.8070083414366043,0.010329683238083493,0.9511850346417643,0.023968363077630127
random,MaxEnt,0.9640324102650827,0.004690904468630126,0.8263211093730182,0.014256238029902514,0.9841945764119777,0.01375113482562694
spatial,GLM,0.7980313755573945,0.1669248509316294,0.5069354489769863,0.3713886032987299,0.6365651068361847,0.41433937116254405
spatial,MaxEnt,0.790063983727701,0.17885252678467514,0.4654277345520065,0.3063683248737391,0.6927698074640705,0.4372922347668307
