block_size,mean_AUC,sd_AUC,mean_TSS,sd_TSS,mean_Boyce,sd_Boyce
double,0.8192580589909078,0.14221093895038692,0.3003385055801374,0.23389993826164077,0.2458445472806874,0.5571952725189159
half,0.8878815020846015,0.07941318717149112,0.4622685333407986,0.3112389334131953,0.6326636425757929,0.45717027017453554
selected,0.790063983727701,0.17885252678467514,0.4654277345520065,0.3063683248737391,0.6927698074640705,0.4372922347668307
