predictor,predictor_value,suitability
wc2.1_2.5m_bio_1,-7.420934130748113,8.075057239464953e-4
wc2.1_2.5m_bio_1,-6.653500080108643,8.075057239464953e-4
wc2.1_2.5m_bio_1,-5.886066029469172,9.243599136820288e-4
wc2.1_2.5m_bio_1,-5.1186319788297014,0.0010597172769639487
wc2.1_2.5m_bio_1,-4.351197928190231,0.0012168368758323476
wc2.1_2.5m_bio_1,-3.5837638775507603,0.0013999255619837362
wc2.1_2.5m_bio_1,-2.81632982691129,0.0016158618389964063
wc2.1_2.5m_bio_1,-2.048895776271819,0.0018750750411497326
wc2.1_2.5m_bio_1,-1.281461725632349,0.0021805012038642025
wc2.1_2.5m_bio_1,-0.5140276749928789,0.0025396338242114802
wc2.1_2.5m_bio_1,0.2534063756465921,0.0029619490435362837
wc2.1_2.5m_bio_1,1.020840426286063,0.0034587559159069176
wc2.1_2.5m_bio_1,1.7882744769255323,0.004043746876157277
wc2.1_2.5m_bio_1,2.5557085275650033,0.004733178494679096
wc2.1_2.5m_bio_1,3.3231425782044743,0.005546341170711337
wc2.1_2.5m_bio_1,4.090576628843944,0.006506106434752283
wc2.1_2.5m_bio_1,4.858010679483415,0.0076395584009807905
wc2.1_2.5m_bio_1,5.625444730122886,0.008978722597659698
wc2.1_2.5m_bio_1,6.392878780762355,0.010561350036957259
wc2.1_2.5m_bio_1,7.160312831401826,0.012431815427513888
wc2.1_2.5m_bio_1,7.927746882041297,0.014642087917028097
wc2.1_2.5m_bio_1,8.695180932680767,0.017252718837074462
wc2.1_2.5m_bio_1,9.46261498332024,0.020333771898214333
wc2.1_2.5m_bio_1,10.230049033959709,0.02397981450737945
wc2.1_2.5m_bio_1,10.997483084599178,0.028436123547039092
wc2.1_2.5m_bio_1,11.764917135238651,0.03369748417630367
wc2.1_2.5m_bio_1,12.53235118587812,0.03988968525784007
wc2.1_2.5m_bio_1,13.29978523651759,0.04714856000307361
wc2.1_2.5m_bio_1,14.067219287157062,0.05561656206484303
wc2.1_2.5m_bio_1,14.834653337796532,0.0654372646139821
wc2.1_2.5m_bio_1,15.602087388436,0.07674789992574015
wc2.1_2.5m_bio_1,16.369521439075474,0.0865476228412982
wc2.1_2.5m_bio_1,17.136955489714943,0.09585604804266838
wc2.1_2.5m_bio_1,17.904389540354412,0.10600133947173515
wc2.1_2.5m_bio_1,18.671823590993885,0.11700995547005762
wc2.1_2.5m_bio_1,19.439257641633354,0.128898988121808
wc2.1_2.5m_bio_1,20.206691692272823,0.1416749967275332
wc2.1_2.5m_bio_1,20.974125742912296,0.15397029829545505
wc2.1_2.5m_bio_1,21.741559793551765,0.16565818279291378
wc2.1_2.5m_bio_1,22.508993844191235,0.1717990518143499
wc2.1_2.5m_bio_1,23.276427894830707,0.17821018286640544
wc2.1_2.5m_bio_1,24.043861945470177,0.18489618040033182
wc2.1_2.5m_bio_1,24.811295996109646,0.19186132971915051
wc2.1_2.5m_bio_1,25.57873004674912,0.19910957554312256
wc2.1_2.5m_bio_1,26.34616409738859,0.20793040940239274
wc2.1_2.5m_bio_1,27.113598148028057,0.2329240977915999
wc2.1_2.5m_bio_1,27.88103219866753,0.262129018285479
wc2.1_2.5m_bio_1,28.648466249307003,0.2929845578985452
wc2.1_2.5m_bio_1,29.41590029994647,0.3255532578092123
wc2.1_2.5m_bio_1,30.18333435058594,0.35994751403903885
wc2.1_2.5m_bio_1,30.950768401225407,0.35994751403903885
wc2.1_2.5m_bio_13,-39.6875,0.005659615818019272
wc2.1_2.5m_bio_13,0,0.005659615818019272
wc2.1_2.5m_bio_13,39.6875,0.014026328465722096
wc2.1_2.5m_bio_13,79.375,0.033750345687957366
wc2.1_2.5m_bio_13,119.0625,0.07592488737600557
wc2.1_2.5m_bio_13,158.75,0.14720252291115046
wc2.1_2.5m_bio_13,198.4375,0.15746544890925726
wc2.1_2.5m_bio_13,238.125,0.15746544890925726
wc2.1_2.5m_bio_13,277.8125,0.15746544890925726
wc2.1_2.5m_bio_13,317.5,0.15746544890925726
wc2.1_2.5m_bio_13,357.1875,0.15746544890925726
wc2.1_2.5m_bio_13,396.875,0.15746544890925726
wc2.1_2.5m_bio_13,436.5625,0.15746544890925726
wc2.1_2.5m_bio_13,476.25,0.15746544890925726
wc2.1_2.5m_bio_13,515.9375,0.15746544890925726
wc2.1_2.5m_bio_13,555.625,0.15746544890925726
wc2.1_2.5m_bio_13,595.3125,0.15746544890925726
wc2.1_2.5m_bio_13,635,0.15746544890925726
wc2.1_2.5m_bio_13,674.6875,0.15746544890925726
wc2.1_2.5m_bio_13,714.375,0.15746544890925726
wc2.1_2.5m_bio_13,754.0625,0.15746544890925726
wc2.1_2.5m_bio_13,793.75,0.15746544890925726
wc2.1_2.5m_bio_13,833.4375,0.15746544890925726
wc2.1_2.5m_bio_13,873.125,0.15746544890925726
wc2.1_2.5m_bio_13,912.8125,0.15746544890925726
wc2.1_2.5m_bio_13,952.5,0.15746544890925726
wc2.1_2.5m_bio_13,992.1875,0.15746544890925726
wc2.1_2.5m_bio_13,1031.875,0.15746544890925726
wc2.1_2.5m_bio_13,1071.5625,0.15746544890925726
wc2.1_2.5m_bio_13,1111.25,0.15746544890925726
wc2.1_2.5m_bio_13,1150.9375,0.15746544890925726
wc2.1_2.5m_bio_13,1190.625,0.15746544890925726
wc2.1_2.5m_bio_13,1230.3125,0.15746544890925726
wc2.1_2.5m_bio_13,1270,0.15746544890925726
wc2.1_2.5m_bio_13,1309.6875,0.15746544890925726
wc2.1_2.5m_bio_13,1349.375,0.15746544890925726
wc2.1_2.5m_bio_13,1389.0625,0.15746544890925726
wc2.1_2.5m_bio_13,1428.75,0.15746544890925726
wc2.1_2.5m_bio_13,1468.4375,0.15746544890925726
wc2.1_2.5m_bio_13,1508.125,0.15746544890925726
wc2.1_2.5m_bio_13,1547.8125,0.15746544890925726
wc2.1_2.5m_bio_13,1587.5,0.15746544890925726
wc2.1_2.5m_bio_13,1627.1875,0.15746544890925726
wc2.1_2.5m_bio_13,1666.875,0.15746544890925726
wc2.1_2.5m_bio_13,1706.5625,0.15746544890925726
wc2.1_2.5m_bio_13,1746.25,0.15746544890925726
